Gene	PVALUE
37257	0.0146
A1CF	0.0454
A2ML1	0.0449
A2MP1	0.00626
AACSP1	0.00184
AADACL2	0.0369
AADACL4	7.49E-04
AAGAB	0.0138
AASS	0.0269
AATF	7.62E-04
ABCA1	0.015
ABCA12	4.36E-06
ABCA13	3.84E-04
ABCA4	1.41E-04
ABCA8	0.027
ABCB1	0.0451
ABCB11	0.00106
ABCB9	0.0291
ABCC1	0.00444
ABCC13	0.0314
ABCC4	1.60E-04
ABCC5	0.0187
ABCC6	0.0242
ABCD3	0.00395
ABCD4	0.0325
ABCF1	1.36E-04
ABCF2	0.00245
ABCG2	0.0036
ABCG8	0.0318
ABHD12B	0.0462
ABHD17B	7.45E-05
ABHD17C	0.0318
ABHD2	0.0285
ABHD4	2.43E-04
ABHD5	0.0063
ABI3BP	0.0158
ABL1	0.00359
ABLIM1	0.00505
ABLIM2	0.0356
ABLIM3	0.0158
ABRA	0.0377
ACACA	0.0315
ACAN	0.00187
ACAP2	0.0478
ACAT1	1.96E-04
ACBD3	0.0479
ACBD6	6.64E-04
ACCS	0.00621
ACER2	0.0385
ACHE	0.0292
ACIN1	3.97E-04
ACMSD	0.0315
ACO1	0.0227
ACOT11	0.00153
ACOT6	0.0157
ACOX3	0.0149
ACOXL	0.0121
ACRV1	0.0324
ACSBG2	0.00581
ACSF2	0.0129
ACSL1	0.016
ACSL3	0.0253
ACSL6	0.0141
ACSM1	0.0297
ACSM6	0.031
ACSS3	0.0323
ACTBL2	1.60E-04
ACTG2	0.0193
ACTL7B	9.66E-05
ACTL8	0.0223
ACTL9	0.00419
ACTN2	9.42E-04
ACTR3B	1.83E-04
ACVR1	0.0163
ACVR1B	0.0107
ACVR1C	5.01E-04
ACVR2A	0.0096
ACYP2	0.0439
ADA	0.0134
ADAD2	0.0428
ADAM11	0.0286
ADAM12	0.00756
ADAM28	0.0407
ADAM29	0.0472
ADAM7	0.0316
ADAMTS1	0.0285
ADAMTS12	0.00118
ADAMTS16	0.00125
ADAMTS17	3.35E-05
ADAMTS18	0.00837
ADAMTS19	0.0077
ADAMTS2	1.21E-05
ADAMTS20	0.00173
ADAMTS3	0.00978
ADAMTS5	0.0143
ADAMTS6	1.33E-04
ADAMTS8	0.0341
ADAMTS9	2.19E-04
ADAMTS9-AS2	2.64E-04
ADAMTSL1	0.00661
ADAMTSL3	0.0207
ADAP2	0.0379
ADARB2	0.00229
ADCK1	0.0321
ADCK3	0.0324
ADCY1	0.00136
ADCY5	0.0173
ADCY8	0.0181
ADCY9	0.0354
ADCYAP1	0.0072
ADCYAP1R1	0.00291
ADD2	0.0172
ADGB	5.64E-04
ADGRA2	0.00339
ADGRB2	0.00389
ADGRB3	0.0425
ADGRF1	2.00E-04
ADGRF5	0.00332
ADGRG3	0.00226
ADGRG5	0.00668
ADGRL2	6.10E-04
ADGRL3	2.24E-05
ADGRL4	0.0112
ADGRV1	0.0204
ADH5P4	0.00699
ADI1	0.0238
ADIPOR1	0.00748
ADO	0.0155
ADORA2B	0.0383
ADORA3	0.0182
ADPGK-AS1	0.00176
ADRA1A	0.0416
ADRA1B	0.008
ADRA1D	2.64E-04
ADRA2A	0.0118
ADRB2	3.02E-04
AEBP2	8.96E-04
AEN	0.0231
AFAP1	0.00889
AFF4	2.68E-04
AFM	0.00257
AFTPH	1.66E-05
AGA	0.00583
AGAP1	0.00974
AGAP2-AS1	0.0431
AGBL1	3.42E-04
AGBL4	7.13E-04
AGFG1	8.02E-05
AGL	5.77E-04
AGMO	0.0341
AGO2	0.0116
AGPAT3	0.0178
AGR2	0.00358
AGR3	0.0403
AGTPBP1	9.83E-04
AGTR1	8.07E-07
AHNAK	2.85E-04
AHR	0.0103
AHRR	0.0363
AHSA1	0.00843
AICDA	0.0355
AIF1	1.10E-09
AIG1	0.00733
AIM1	0.0192
AIM2	0.0213
AIMP1	1.02E-04
AJAP1	0.00148
AJUBA	0.00629
AK3	0.0327
AK4	0.00352
AK7	0.0159
AK8	0.0489
AK9	8.10E-04
AKAP1	0.00332
AKAP12	0.00215
AKAP13	0.0131
AKAP2	0.00278
AKAP6	0.0043
AKAP7	0.00807
AKIRIN1	0.0222
AKIRIN2	0.0192
AKR1B1	0.00317
AKR1B15	0.0184
AKR1C6P	0.0209
AKR1E2	0.00524
AKR7A2	0.0136
ALAD	0.00504
ALB	0.00139
ALCAM	0.0212
ALDH18A1	0.00532
ALDH1A2	0.00467
ALDH1L1	3.31E-04
ALDH1L2	0.00901
ALDH3B2	0.0419
ALDH5A1	0.00293
ALDH6A1	0.0169
ALDH7A1	0.0478
ALDH8A1	0.0043
ALG10	0.00719
ALG1L	0.0358
ALG1L6P	0.0198
ALK	0.00332
ALKBH1	0.0118
ALKBH3	0.0256
ALOX12B	0.00984
ALOX5	0.0373
ALOX5AP	0.00208
ALPK1	0.0213
ALPK2	0.00472
ALPL	0.0325
ALX4	1.52E-07
AMACR	0.028
AMBP	0.00329
AMD1	0.00399
AMIGO2	0.0145
AMOTL1	0.0177
AMOTL2	0.00545
AMPD3	0.0495
AMPH	0.0101
AMZ2	0.0483
ANAPC10	0.0477
ANAPC4	0.00505
ANGPT1	0.00331
ANK1	0.042
ANK2	0.008
ANK3	3.95E-04
ANKFN1	7.69E-06
ANKH	0.0132
ANKK1	3.04E-04
ANKMY1	0.0187
ANKMY2	0.00999
ANKRD10	0.0369
ANKRD11	0.0464
ANKRD18A	0.0446
ANKRD2	0.0226
ANKRD22	0.021
ANKRD28	0.0302
ANKRD30A	0.00315
ANKRD33B	0.0191
ANKRD34C-AS1	0.0181
ANKRD35	0.01
ANKRD36B	0.0318
ANKRD44	0.0144
ANKRD46	0.0345
ANKRD50	7.72E-04
ANKRD55	0.00791
ANKRD6	0.0469
ANKRD7	0.0454
ANKS1B	4.38E-04
ANO10	0.0243
ANO2	0.0192
ANO3	0.00468
ANO4	0.0194
ANO5	0.0125
ANO6	0.045
ANP32A	0.00381
ANP32AP1	0.0144
ANXA1	9.69E-04
ANXA13	0.0157
ANXA2	0.0126
ANXA5	0.00303
AOAH	0.00857
AOX1	0.04
AOX2P	0.0185
AP1S3	0.0012
AP2B1	0.00624
AP3B1	0.0028
AP3M2	0.00724
AP3S2	0.00311
APBA2	0.00166
APBB1IP	2.52E-04
APBB2	0.0166
APC	0.0271
APCDD1	0.00842
APCDD1L-AS1	0.00208
APELA	0.0244
API5	0.002
APIP	0.0199
APLF	0.00174
APLP2	0.0203
APOB	0.00608
APOL1	0.0332
APOL3	0.00614
APOL4	0.0291
APOL5	0.00873
APOOP5	0.00502
APP	0.0389
APTX	0.0224
AQP2	0.0464
AQP4	0.00609
AQP8	0.00237
AQP9	0.00485
ARAP2	0.00536
ARAP3	0.0121
AREL1	6.03E-04
ARFGAP3	0.00163
ARFGEF3	0.0254
ARG1	0.0321
ARGFXP2	0.0175
ARGLU1	0.0216
ARHGAP10	9.11E-04
ARHGAP15	0.0211
ARHGAP18	4.30E-04
ARHGAP20	0.00533
ARHGAP21	0.00146
ARHGAP22	5.19E-04
ARHGAP24	0.0098
ARHGAP26	0.0111
ARHGAP31	0.00111
ARHGAP32	9.55E-04
ARHGAP42	0.0055
ARHGAP44	0.00151
ARHGAP5-AS1	0.0488
ARHGAP8	0.0175
ARHGEF10	0.0211
ARHGEF10L	0.0204
ARHGEF11	0.0389
ARHGEF18	0.0258
ARHGEF25	2.61E-09
ARHGEF26	0.0367
ARHGEF28	6.83E-04
ARHGEF4	0.00773
ARHGEF7	0.028
ARID1B	0.00824
ARID5B	0.00137
ARL14	3.50E-06
ARL14EP	0.0117
ARL15	0.00101
ARL4A	0.00829
ARL4C	1.06E-06
ARL5B	0.00516
ARL6	0.00218
ARL6IP6	0.00773
ARL8B	0.0228
ARMC2	0.00443
ARMC6	1.30E-04
ARMC7	0.0256
ARMC9	0.0158
ARMS2	0.00918
ARNTL	0.0416
ARPC5	0.0395
ARPP21	9.88E-04
ARRB1	0.0323
ARRDC3	0.0379
ARRDC4	0.0146
ARSB	0.0229
ARSG	3.97E-05
ARSJ	0.00248
ASAH1	0.0314
ASAP1	0.0163
ASAP2	0.00926
ASAP3	0.0389
ASB13	0.0201
ASB15	0.0301
ASB18	0.00468
ASB2	2.42E-04
ASB3	9.28E-07
ASCC1	0.00986
ASCL4	0.00133
ASCL5	0.0137
ASIC2	2.18E-04
ASIC5	0.0258
ASIP	0.00194
ASNS	0.0404
ASPH	0.00517
ASTN1	0.00869
ASTN2	0.00102
ASXL3	2.73E-05
ATAD2	0.0033
ATAT1	2.03E-05
ATCAY	0.0408
ATE1	0.0499
ATF7	0.0238
ATF7IP	0.0034
ATF7IP2	0.0488
ATG10	3.81E-05
ATG101	0.0343
ATG16L1	0.00891
ATG3	0.0364
ATG4C	0.0429
ATG4D	0.0464
ATL2	0.00649
ATOH8	0.00833
ATP10A	3.92E-04
ATP10D	0.0175
ATP13A3	0.0091
ATP13A4	0.045
ATP1A1	0.00517
ATP1A1-AS1	0.0235
ATP1B1	0.00918
ATP23	0.0077
ATP2B1	0.00468
ATP2B2	0.00235
ATP2C1	0.002
ATP5G3	0.0241
ATP6AP1L	0.0224
ATP6V0A4	0.0485
ATP6V1A	0.0304
ATP6V1B2	0.0432
ATP6V1C1	0.00551
ATP6V1E1	0.00705
ATP8A1	8.17E-05
ATP8A2	0.00107
ATP8B1	0.0212
ATP8B4	0.0395
ATP9A	0.0335
ATP9B	0.0355
ATR	0.00344
ATXN1	0.0028
ATXN10	0.0114
ATXN3	0.0025
ATXN7L1	0.00263
ATXN8OS	0.00357
AUNIP	0.0202
AUTS2	2.84E-04
AVEN	0.017
AVIL	0.00724
AVL9	0.0287
AVPR1A	8.66E-04
AXIN2	0.0089
AZIN2	0.00633
B3GALT1	0.0252
B3GAT2	0.0283
B3GLCT	0.00596
B3GNT2	0.0103
B3GNT7	0.00891
B4GALNT3	0.0106
B4GALT1	0.0055
B4GALT4	0.0295
B4GALT5	0.0375
B4GALT6	0.0448
BACH2	0.00902
BAG6	1.49E-05
BAHCC1	0.0388
BAIAP2L1	0.0445
BAK1	0.0141
BANF1	0.00158
BANK1	0.00771
BARD1	8.21E-05
BARHL2	0.0127
BARX1	0.00684
BARX2	0.025
BASP1	0.0302
BASP1P1	0.0183
BAZ1A	0.0482
BAZ2A	0.0176
BAZ2B	0.0157
BBOF1	0.03
BBOX1	0.0423
BBS7	0.00341
BBS9	0.04
BBX	0.0155
BCAS1	0.00412
BCAS3	0.00127
BCAS4	0.0418
BCHE	0.00189
BCKDHB	5.99E-04
BCL10	0.00379
BCL11A	8.44E-04
BCL11B	1.88E-07
BCL2	0.00367
BCL2L10	0.0149
BCL2L14	0.0372
BCL9	0.00717
BCO2	0.0356
BCR	0.0262
BCRP2	0.0354
BDH1	1.92E-05
BDKRB2	0.0262
BDNF	0.00126
BDP1	0.00991
BEND3	0.00414
BEND4	0.0267
BEND5	0.044
BEND6	0.002
BEND7	0.00449
BEST3	0.0161
BEST4	0.0287
BET1P1	0.0496
BFSP1	0.0372
BHLHE40	4.25E-06
BHMT	0.00811
BICC1	9.24E-04
BICD1	0.00168
BIN2	0.0285
BIN3	0.0199
BIRC3	0.0049
BLM	0.0211
BLNK	0.00896
BLOC1S5	0.00176
BMF	7.90E-04
BMP2	0.00102
BMP2K	0.0486
BMP4	8.42E-05
BMP5	2.54E-05
BMP6	0.0127
BMP7	0.0367
BMPER	0.0168
BMPR1A	0.0204
BMPR1B	0.00604
BNC2	3.38E-04
BNIP2	0.0477
BOC	0.00858
BOD1	0.00468
BOD1L1	0.00749
BORA	0.00709
BORCS5	0.0105
BPGM	0.0364
BPIFB1	0.037
BPIFB2	0.0231
BRAF	0.0149
BRCA2	0.02
BRD1	7.18E-04
BRD3	0.014
BRD7	0.00947
BRD8	0.0349
BRINP1	5.61E-04
BRINP2	0.0195
BRINP3	0.0228
BRIP1	0.0113
BRK1	0.0212
BRMS1L	0.00878
BSN	0.0169
BSND	0.0173
BST1	0.0268
BTAF1	0.0213
BTBD11	0.0131
BTBD3	0.0274
BTBD9	0.00705
BTC	0.0184
BTF3	0.0164
BTG3	0.0294
BTN2A1	1.04E-04
BTN2A2	0.028
BTNL2	4.71E-11
BUB1B	0.0308
BUB3	2.78E-04
BUD13	0.00112
C10orf107	0.00518
C10orf11	1.23E-06
C10orf35	0.0298
C10orf53	0.0296
